GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
GM0454	116.19290732037	208.885664538127
GM0457	108.164389714108	169.722147205356
GM0458	92.3265623393314	203.23026809907
GM0459	113.643214609944	216.119167621173
GM0462	103.356690484482	237.933078906586
GM0463	104.814830329004	228.642870963345
GM0466	106.454708282234	212.484091515375
GM0473	72.9902079452794	176.354188628097
GM0476	86.072210244734	226.63733796552
GM0478	104.788950925488	198.235359855295
GM0479	88.7288657915445	187.888308130673
GM0480	84.8336322151388	156.182859393569
GM0482	80.7805392497066	121.371792597469
GM0483	76.1424165363337	158.134711928253
GM0484	82.552834530751	150.929457002255
GM0489	71.0921018750508	119.974992339016
GM0491	87.0641744811996	129.973598815247
GM0492	70.2903627693704	134.567130915345
GM0493	67.4131204262458	136.639217698357
GM0495	71.9425555329999	139.029862598559
GM0497	88.4636744985126	146.216791127586
GM0498	114.269455435148	211.860148441756
GM0499	81.3585129356414	145.500246216077
GM0501	47.6705673474436	124.495353582877
GM0502	74.9507142001171	129.266971163932
GM0503	60.1334403659467	136.512871812205
GM0504	40.182178571005	109.279736172175
GM0505	83.6998890678204	112.162004605182
GM0511	32.5762088000825	115.727642512487
GM0512	102.203360376852	118.300512334027
GM0513	83.721738173629	138.112588168781
GM0517	76.5022577017848	110.973460421778
GM0518	55.9769589521534	144.348709766242
GM0523	93.5879257198975	117.709744575384
GM0529	108.036743367646	216.929434103936
GM0530	44.3584421041436	119.862901059172
GM0531	78.8890492519861	118.860140713506
GM0532	119.520681530081	214.197697899648
GM0534	75.2031732691853	169.525007732627
GM0537	63.5958566894578	158.349156401926
GM0542	76.4384105474149	126.995415317594
GM0545	109.72629586551	125.435052915449
GM0546	68.7354706231899	153.816104037617
GM0547	72.6152496443929	153.958673864433
GM0553	73.0181159457079	164.960515772803
GM0556	52.1623941445294	128.483535316542
GM0558	101.850703376863	207.186696576656
GM0559	46.5761769276519	108.186594883917
GM0563	80.0032060874549	136.252394705436
GM0567	77.63119043745	132.735326085216
GM0568	51.4342159992943	117.778628807013
GM0569	90.6153539168761	152.880420633627
GM0571	82.0649148458178	123.686509094798
GM0575	67.9504195372475	166.540430620081
GM0576	70.3044391005568	166.744800238298
GM0579	67.7915503132516	157.171966465186
GM0580	53.3238021828045	102.326759003044
GM0584	63.3151377276369	115.484686296498
GM0585	69.8750745294372	114.781161363657
GM0588	57.4549078803349	111.55443515152
GM0589	94.5758827681375	139.369265443359
GM0590	83.3423375986162	117.863519543665
GM0595	87.4264635687675	141.679595365849
GM0597	75.9895550413833	121.886839650704
GM0599	57.6605690168905	128.415949772349
GM0600	50.977205318613	127.416200187636
GM0602	66.2802408160255	158.420238314743
GM0603	57.6415285916384	140.749731805068
GM0604	70.9805837329645	160.85032628042
GM0606	61.5586638294638	128.514998337722
GM0608	93.5217570625295	130.896441182524
GM0610	88.1236363059595	117.533978039787
GM0611	66.1030223668827	108.110518119757
GM0612	58.4651356201428	118.754087990832
GM0613	64.9263570447451	120.16413836624
GM0614	41.2729140803641	125.312302300221
GM0617	72.668303532702	108.035146376685
GM0619	64.9934603068389	155.531971743611
GM0620	111.520431531874	132.816356730409
GM0622	57.5997042301153	127.545301072294
GM0623	88.694312156389	134.361875565722
GM0625	69.4249599023116	161.930817727887
GM0626	65.5181847705637	150.511530230615
GM0627	79.2543091288054	141.180346804592
GM0628	71.5163531256291	158.72761992109
GM0629	61.0541422079461	151.984985119822
GM0632	97.0175695199449	148.200859708804
GM0637	68.9262471033397	143.342831917181
GM0638	70.6418030716839	149.317880380007
GM0642	76.5943966391808	116.679151279513
GM0643	81.5748492048146	126.218588775207
GM0644	80.9979207106309	131.537098516911
GM0645	80.464683503231	157.702398422914
GM0653	141.893941856237	234.671631673131
GM0654	21.028091319032	75.6517004694906
GM0664	23.4501083935239	83.3739095285689
GM0668	138.014661161992	119.695369984861
GM0677	38.3874586373958	61.5718685409782
GM0678	31.8740731786767	79.8446261232426
GM0683	145.45067559535	247.133629963989
GM0687	9.66508460497586	82.2050529058891
GM0689	98.9764044974138	122.127247039466
GM0693	90.071376004441	122.506709311665
GM0694	92.5733488752997	127.01267474502
GM0703	43.5262860986295	74.3075244537364
GM0707	104.756542302989	128.733647056215
GM0710	135.491299724488	255.725886003722
GM0715	22.9508664395925	58.1139081570259
GM0716	43.4868803423155	89.4291966045987
GM0717	3.4214652619912	86.3549072830121
GM0718	7.58705919369641	77.6368852771894
GM0733	109.929673366337	119.287380685143
GM0736	96.7891208719945	159.895981641359
GM0737	168.920785090601	269.859763415337
GM0738	108.225300360916	107.96595774864
GM0743	157.757493531117	67.995373535628
GM0744	96.2521548813081	73.8948926336083
GM0748	54.1729770809769	81.5269586213603
GM0753	131.0951037101	82.0848106831225
GM0755	151.704095193833	92.4744616469814
GM0756	169.377658398202	94.2317855384624
GM0757	126.256374811819	89.2708900160531
GM0758	87.0892311689341	90.190776265181
GM0762	161.034614111391	73.5680663478351
GM0765	236.747638283605	256.491110563583
GM0766	100.566860147783	95.7578885909236
GM0770	125.412932280896	69.0696552902159
GM0772	135.445189803724	75.0040965690183
GM0777	79.0239869502205	89.5201281152285
GM0779	95.4931681316849	102.630283748932
GM0784	97.9708931462337	87.2891323995033
GM0785	105.798351512626	81.9315687245209
GM0786	155.048535738515	107.721011926979
GM0788	118.762500624309	94.6144023045733
GM0794	149.227740702634	77.95975827051
GM0796	126.152678611447	104.503762871761
GM0797	114.780998162843	102.477041952446
GM0798	113.657414465833	78.3349370814919
GM0808	133.966832122137	113.026393733548
GM0809	106.955871333306	96.2714329012507
GM0815	156.80032376975	101.312195738742
GM0820	141.752092937853	78.1878946901984
GM0823	123.693734030359	79.756097859127
GM0824	117.3042051312	86.372651053188
GM0826	94.2581747113713	96.034513759917
GM0828	143.753105299233	111.704766773238
GM0840	72.9411742564719	83.422677627277
GM0844	133.877040869528	94.152529933649
GM0845	129.83204781359	98.0706351593775
GM0846	136.136097209325	87.6524735738698
GM0847	151.646291858623	67.1183142599121
GM0848	137.063095498848	82.3765056229818
GM0851	56.8659334471881	91.931532768075
GM0852	105.137272469114	186.581048318295
GM0855	108.361838766748	89.4956427733958
GM0856	148.785101659127	97.8955976670657
GM0858	134.786611297118	60.9595158171627
GM0860	143.424568623049	91.6960274608317
GM0861	130.186550140815	70.7638561822903
