GM_CODE	COMPUTE_CENTROID_x	COMPUTE_CENTROID_y
GM0611	173.38611756662968	318.7526983273928
GM0612	156.20138885255363	342.7000108300298
GM0613	170.73870015673975	345.8725288285602
GM0614	117.52005290847596	357.4555495664673
GM0617	188.15755625213288	318.5831170020518
GM0619	170.88967795899646	425.44776239082074
GM0620	275.57221710911864	374.3391646177789
GM0622	154.25422674457846	362.47964581049473
GM0623	224.21499199313746	377.816477490928
GM0625	180.86025239537005	439.84473317239247
GM0626	172.0702725210296	414.15210846387197
GM0627	202.97562350437187	393.15757672017526
GM0628	185.56574572980136	432.6377547031739
GM0629	162.02647860914698	417.4672823310697
GM0632	242.94175825099887	408.95325603493046
GM0637	179.73818232010825	398.0230219986484
GM0638	183.59806724469365	411.46647701311286
GM0642	196.99100026333474	338.0315435347407
GM0643	208.1966817628598	359.49463285284656
GM0644	206.8986316623453	371.46092013986095
GM0645	205.69888400262593	430.3310756574671
GM0653	343.91056151333345	603.5066458896847
GM0654	71.97057062966192	245.72255344633453
GM0664	77.41994527295309	263.09700166137486
GM0668	335.18244226426896	344.8178316681678
GM0677	111.02797327333708	214.04388367101978
GM0678	96.37329641967085	255.15635264591364
GM0683	351.91297192359355	631.5452993763824
GM0687	46.40457387791888	260.46715329727834
GM0689	247.34900449587988	350.2893905998828
GM0693	227.31329253560696	351.1431550534976
GM0694	232.94256231423032	361.2812725898857
GM0703	122.58998757885905	242.69824830269906
GM0707	260.3539237114449	365.1533439196351
GM0710	329.5050496570128	650.8772944664623
GM0715	76.29668463483857	206.26370663085183
GM0716	122.5013272917283	276.72098813014406
GM0717	32.35685254335071	269.8040450368948
GM0718	41.72915721648424	250.18908502744705
GM0733	271.9931188021319	343.8998833315295
GM0736	242.42776424056316	435.266489570974
GM0737	404.7191312631195	682.6775629240386
GM0738	268.15839478791526	318.42744726751386
GM0743	379.602480104663	228.49633555815825
GM0744	241.21962707060786	241.76985460912263
GM0748	146.54432237079757	258.9414870091155
GM0753	319.6139058908384	260.1966164266257
GM0755	365.9827431703885	283.5726285578551
GM0756	405.7470653119727	287.52648848524035
GM0757	308.7270930596293	276.36480901042904
GM0758	220.60366830533496	278.4344908693557
GM0762	386.97577981468766	241.03451756572048
GM0765	557.3249645648717	652.5989979818943
GM0766	250.92742216425174	290.9601171597473
GM0770	306.829404397764	230.9133968640903
GM0772	329.40130545315105	244.26548846055402
GM0777	202.4574141767375	276.9255778803213
GM0779	239.5119582058677	306.42254156088893
GM0784	245.0866719473759	271.9059883776203
GM0785	262.6979239870325	259.85183238187784
GM0786	373.5075082482818	317.87633573176413
GM0788	291.86638286584514	288.38735033686174
GM0794	360.41111301372945	250.91552743015495
GM0796	308.49378362060787	310.63774290447276
GM0797	282.90827155266976	306.07775788088145
GM0798	280.38028420996443	251.759654385618
GM0808	326.0751006346354	329.8130860519935
GM0809	265.30226531328094	292.11555713263004
GM0815	377.4489128645437	303.4569326659899
GM0820	343.59141103863664	251.42881894813118
GM0823	302.9613245845013	254.9571700379003
GM0824	288.58531661478605	269.843967319936
GM0826	236.7333065191382	291.58250508476823
GM0828	348.093553545286	326.8395147582889
GM0840	188.77149692937712	263.2067265858135
GM0844	325.87307638788246	287.34816873365486
GM0845	316.7721155302579	296.16364055312545
GM0846	330.9558003972982	272.723481451175
GM0847	365.8526895747284	226.52301149357666
