COMPUTE_CENTROID	WOZ	P_15_24_JR	P_ANT_ARU	MOTOR_2W	P_OVER_NW	STERT_TOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	GEBOO_TOT	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	P_GEBOO	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
420.02894556248367 501.40157109108026	271	11	0	515	1	90	0	17	26	-99999999	39	135	220	2420	0	4640	748	113	GM0244	12	Hattem	-99999999	504	0	8	2307	18	19	5085	28	1.1	660	2.5	8	2	525	90	63	4755	4	4	5650	19	50	25	-9	5980	2	35	11630
419.7718755936954 484.1850397302597	299	11	0	930	1	160	0	17	24	-99999999	41	165	105	8039	0	7060	521	170	GM0246	9	Heerde	-99999999	229	0	16	7870	22	18	8235	29	1.2	1135	2.5	9	4	690	80	61	7000	3	4	8920	18	135	25	-6	9100	2	35	18010
385.207009581437 326.6260265831046	299	10	0	570	2	95	0	15	25	-99999999	42	145	194	4158	0	6590	734	168	GM0252	9	Heumen	-99999999	418	0	25	3990	18	20	7745	30	1.2	905	2.5	6	13	745	62	63	6450	9	4	8280	19	95	24	-6	8390	3	33	16670
465.8842041742324 427.96883318254305	290	9	0	1765	1	345	0	21	26	-99999999	36	290	77	21602	1	13430	531	271	GM0262	9	Lochem	-99999999	154	1	10	21331	19	17	16340	30	1.2	2810	2.4	11	11	1625	79	65	13365	6	4	16050	17	545	22	-5	16790	3	38	32830
304.2017374350601 326.0119790009982	291	11	0	1080	1	200	0	13	23	-99999999	45	240	171	7549	0	8990	405	939	GM0263	10	Maasdriel	-99999999	356	0	52	6610	27	19	11310	29	1.3	2735	2.6	9	8	1525	41	61	8930	5	5	11830	12	360	28	-1	11680	2	32	23510
417.65758075167514 347.9443520704728	214	11	0	250	1	45	0	14	25	-99999999	41	60	297	1032	0	2380	579	160	GM0265	10	Millingen aan de Rijn	-99999999	673	0	31	872	23	19	2590	30	1.1	300	2.4	8	12	205	56	63	2345	13	4	2940	14	15	27	-6	2930	2	34	5870
333.3966391139795 434.79110501241394	271	12	0	1595	2	230	0	13	25	-99999999	43	490	252	7205	1	15030	954	253	GM0267	13	Nijkerk	-99999999	559	2	6	6952	20	20	17500	26	1.2	2815	2.6	6	7	2075	87	67	14620	4	4	19370	13	240	28	-4	19510	5	32	38880
387.885219103227 341.7998597837756	202	17	1	4040	5	1195	1	13	52	-99999999	25	1670	1479	5753	3	85060	2227	398	GM0268	10	Nijmegen	-99999999	3005	2	69	5355	14	15	79210	24	0.9	10735	1.9	7	3	6505	28	66	68945	12	2	76960	20	60	31	-3	83940	12	23	160910
402.44132463044224 496.68973190778274	255	15	0	885	1	130	0	13	20	-99999999	50	250	101	9885	0	7960	549	114	GM0269	11	Oldebroek	-99999999	233	0	4	9771	35	20	9835	26	1.2	1745	2.8	6	4	880	91	51	7925	2	4	11550	14	250	26	-3	11250	2	30	22800
348.5279971908865 442.9847854045092	295	13	0	805	1	180	0	15	25	-99999999	44	250	120	8745	0	8520	759	240	GM0273	11	Putten	-99999999	271	0	7	8504	27	20	10215	26	1.2	2010	2.7	8	12	1225	82	61	8005	4	4	11360	12	300	26	-2	11680	2	31	23040
379.7044438538818 379.6141771499726	272	9	0	1190	2	385	0	22	35	-99999999	31	275	319	4712	1	14010	813	113	GM0274	9	Renkum	-99999999	688	0	30	4600	15	17	14660	30	1.0	1425	2.2	12	13	1415	57	66	14025	9	4	15140	19	25	23	5	16500	4	34	31640
420.7227722163836 390.937329399089	230	10	0	1620	2	560	0	22	36	-99999999	30	360	240	8439	2	20040	1238	266	GM0275	8	Rheden	-99999999	538	0	14	8173	18	16	19615	28	1.0	1910	2.1	13	11	1795	75	62	19505	9	3	21210	20	55	24	2	22740	5	34	43950
407.8179290829376 393.0170275395438	482	8	0	50	2	15	1	25	21	-99999999	33	25	30	2795	0	640	803	2	GM0277	15	Rozendaal	-99999999	55	0	-99999997	2792	6	18	840	30	1.3	35	2.4	9	-99999997	80	-99999997	73	630	10	4	750	21	0	19	-99999997	780	3	45	1530
335.6486242079972 404.3842777960819	266	12	0	390	1	75	0	14	25	-99999999	42	110	290	1384	0	3360	781	3	GM0279	13	Scherpenzeel	-99999999	646	0	7	1381	27	22	4005	25	1.2	715	2.6	8	9	435	84	59	3370	4	4	4450	14	60	27	-5	4480	2	32	8930
321.0684918761624 353.1146163563815	197	12	0	1345	3	310	1	12	30	-99999999	40	495	557	3484	6	17020	1222	256	GM0281	12	Tiel	-99999999	1276	4	51	3228	19	20	17985	26	1.1	2935	2.4	8	10	2000	40	66	16550	8	3	20450	15	90	30	-4	20740	13	30	41190
405.2175253795971 344.26497610796736	256	8	0	400	1	105	0	19	33	-99999999	32	70	128	3881	0	4120	337	486	GM0282	7	Ubbergen	-99999999	276	0	30	3394	21	17	4360	30	1.1	515	2.2	11	5	365	64	57	3965	11	5	4610	22	55	25	-7	4760	2	34	9370
427.6733333710409 439.01851985213904	284	12	0	1085	1	195	0	17	24	-99999999	40	210	89	12652	1	9020	515	345	GM0285	9	Voorst	-99999999	191	0	13	12307	21	17	11000	31	1.2	1915	2.5	8	8	1015	78	63	8795	5	4	11810	17	375	23	-6	11700	2	35	23510
360.91816159901396 375.4799459618134	214	18	0	775	11	365	1	13	59	-99999999	21	325	386	3235	0	19950	1516	188	GM0289	9	Wageningen	-99999999	1171	1	20	3047	14	14	11750	22	0.6	1095	1.8	10	17	1325	63	66	12705	13	2	17590	20	35	33	-15	18090	13	20	35680
408.55031401145396 371.8184666385085	201	14	0	730	3	90	1	11	25	-99999999	47	120	922	784	1	6200	1098	75	GM0293	8	Westervoort	-99999999	2199	1	0	709	22	19	6540	31	1.1	635	2.5	6	0	495	100	59	6150	10	3	7780	19	10	26	-99999997	7820	6	29	15600
525.2006960936359 376.3759763580103	207	11	0	1170	3	290	0	17	30	-99999999	38	305	92	13880	2	12120	1073	61	GM0294	10	Winterswijk	-99999999	212	1	12	13819	22	19	12725	28	1.1	1960	2.4	10	9	1305	78	64	11850	9	3	14540	13	355	26	-5	14710	5	32	29250
367.00631005519324 336.25562417135444	249	11	0	1420	2	280	1	13	25	-99999999	44	415	275	6958	1	15640	1026	301	GM0296	10	Wijchen	-99999999	593	0	27	6657	25	20	18315	29	1.2	2680	2.5	7	19	1755	55	60	15625	7	3	19560	15	180	28	-5	19920	4	31	39480
282.74566563071807 330.080212817682	270	12	0	880	1	160	0	13	24	-99999999	45	340	202	8906	0	9750	575	933	GM0297	13	Zaltbommel	-99999999	329	3	60	7972	23	22	16080	26	1.6	4285	2.7	6	4	1550	36	64	9675	4	4	13090	13	325	28	-6	13100	5	31	26190
426.1188045641031 372.4861932231844	212	10	0	1335	1	280	1	16	29	-99999999	36	295	280	5802	2	13730	1178	454	GM0299	9	Zevenaar	-99999999	596	0	22	5348	19	17	14990	31	1.1	1630	2.3	9	9	1325	69	63	13430	10	3	15660	18	115	27	-3	16220	4	34	31880
448.61186433312554 416.8986686525199	194	11	0	1660	2	405	1	14	34	-99999999	36	550	455	4284	3	20360	1449	190	GM0301	12	Zutphen	-99999999	1139	1	14	4094	15	19	18610	28	0.9	1985	2.3	9	7	1900	80	66	20210	9	3	22750	19	60	28	2	23880	7	30	46640
379.44551028732184 467.0891755382716	276	14	0	975	2	215	0	15	26	-99999999	43	315	89	12949	0	9870	722	74	GM0302	12	Nunspeet	-99999999	206	0	5	12875	22	21	11410	25	1.2	1740	2.7	8	5	1230	90	64	9510	3	4	13070	14	170	25	-3	13510	2	31	26580
366.23414149385235 507.8212355099122	212	14	0	1575	3	195	1	12	28	-99999999	40	435	49	42386	1	15440	762	8974	GM0303	11	Dronten	-99999999	114	1	75	33412	20	21	16380	25	1.1	2540	2.4	5	13	1540	12	65	14115	7	4	19350	15	505	28	-3	18830	7	32	38180
302.01827724620046 340.82781142634667	274	11	0	545	1	100	0	13	21	-99999999	46	155	86	7296	0	4410	176	697	GM0304	13	Neerijnen	-99999999	180	1	57	6599	23	22	5670	26	1.3	1555	2.7	9	7	725	36	65	4330	4	5	5990	12	225	28	-1	5860	2	33	11850
255.3043395335911 448.45159432383025	392	9	0	290	3	35	1	16	27	-99999999	42	105	129	3211	0	3470	662	172	GM0305	12	Abcoude	-99999999	285	0	1	3039	16	22	3930	28	1.1	480	2.5	4	1	550	97	68	3495	11	4	4260	16	70	25	-3	4390	5	30	8650
317.8111395500083 425.5146618681184	229	11	1	4850	4	970	1	12	36	-99999999	37	2125	942	6378	4	60100	2165	95	GM0307	15	Amersfoort	-99999999	2213	3	9	6283	13	21	59160	24	1.0	8265	2.3	7	7	6420	84	69	57910	8	2	68010	19	85	33	-2	71040	13	27	139050
299.2401055814125 433.0761750057678	310	10	1	850	3	275	1	18	37	-99999999	33	255	368	3303	2	10680	1395	47	GM0308	10	Baarn	-99999999	749	1	17	3256	16	17	11990	29	1.1	1520	2.2	11	4	1535	78	69	10515	9	3	11680	15	25	25	-8	12690	6	31	24380
285.4066458512377 417.5607370014544	344	10	0	1255	2	465	1	20	36	-99999999	34	400	288	6710	0	18490	1111	78	GM0310	10	De Bilt	-99999999	634	1	13	6632	14	18	19105	29	1.0	2120	2.2	11	5	2325	83	66	18245	9	3	19920	19	130	23	1	22090	5	31	42020
254.88795401915456 424.0238852383333	304	11	0	550	2	90	1	15	32	-99999999	38	150	147	4865	0	6160	670	421	GM0311	10	Breukelen	-99999999	329	1	7	4444	21	20	6555	27	1.1	955	2.4	6	2	855	90	66	5875	8	4	7180	13	125	27	0	7450	4	30	14630
291.8866963639716 392.3315435931122	288	10	0	460	2	100	0	18	28	-99999999	38	120	185	3757	0	5830	591	62	GM0312	9	Bunnik	-99999999	383	1	25	3695	16	19	6840	29	1.2	1175	2.4	7	13	830	62	65	5775	7	4	6990	19	105	24	-7	7170	3	34	14160
313.71599423441745 441.78433243349485	256	15	0	465	1	105	0	11	20	-99999999	52	285	255	3488	2	6820	974	436	GM0313	15	Bunschoten	-99999999	638	0	0	3051	21	22	7790	24	1.1	1485	2.8	5	1	1085	99	68	6955	3	4	9780	11	80	28	-1	9700	4	28	19480
301.66966547880423 444.60876270666427	300	11	0	365	2	35	0	11	26	-99999999	45	115	136	3367	0	3520	786	264	GM0317	13	Eemnes	-99999999	287	0	9	3103	26	21	4220	29	1.2	710	2.5	4	3	565	88	61	3515	8	4	4420	12	75	28	-1	4470	4	29	8890
286.43009564549976 383.12500719152814	268	13	1	1420	3	210	2	9	24	-99999999	49	695	354	5898	0	17120	1251	348	GM0321	15	Houten	-99999999	821	1	35	5549	15	23	19630	27	1.1	2120	2.6	5	6	1980	59	68	16950	7	3	22510	17	165	29	2	23060	6	27	45570
322.7646697404108 412.69354845886085	264	11	0	1235	3	180	1	14	29	-99999999	40	290	221	5894	0	11730	1154	26	GM0327	10	Leusden	-99999999	488	0	6	5868	12	19	12990	30	1.1	1265	2.4	6	12	1500	82	70	11310	8	3	14090	17	100	25	1	14520	5	31	28610
261.74751939595035 439.1530308952112	374	9	0	290	2	55	1	17	29	-99999999	38	80	164	2732	1	3400	316	232	GM0329	10	Loenen	-99999999	329	0	6	2499	18	20	4090	31	1.2	545	2.4	7	6	520	88	69	3365	9	5	4030	13	70	24	-1	4180	4	33	8210
249.9834884231503 378.58003781062746	274	12	0	660	1	75	0	11	23	-99999999	47	170	80	7892	0	5140	335	323	GM0331	12	Lopik	-99999999	185	1	10	7569	37	23	6065	26	1.2	1825	2.7	5	4	740	86	54	5025	3	5	7120	10	250	28	-5	6880	3	30	14000
268.3880111588865 419.1628462564919	236	12	1	1280	3	235	3	12	28	-99999999	41	430	625	3086	1	16330	1503	365	GM0333	11	Maarssen	-99999999	1448	2	26	2721	17	18	17015	31	1.0	1660	2.4	6	2	1825	73	68	15630	9	2	19340	15	60	28	0	20060	9	31	39390
249.78855966588708 394.195255750798	272	12	0	430	2	50	0	11	25	-99999999	44	165	155	3822	0	5180	652	47	GM0335	12	Montfoort	-99999999	357	1	7	3775	24	22	5840	27	1.1	1200	2.6	4	5	750	88	64	5170	5	4	6730	12	110	28	1	6740	3	31	13470
340.92468812006666 399.3987627309093	278	14	0	225	1	15	0	10	22	-99999999	48	65	110	1852	0	1590	361	9	GM0339	14	Renswoude	-99999999	242	0	6	1843	32	23	2020	25	1.3	610	2.8	4	24	275	71	57	1560	3	5	2210	12	90	27	-5	2250	1	30	4460
344.94218624989355 377.2534912248167	262	11	0	750	1	125	0	16	27	-99999999	39	245	203	4374	0	7420	824	170	GM0340	13	Rhenen	-99999999	444	2	8	4203	25	20	8545	27	1.2	1200	2.5	7	10	930	81	62	7255	5	4	9240	14	95	26	-12	9400	4	35	18640
304.21883206340027 421.15585773676355	287	11	1	1705	3	385	1	16	33	-99999999	35	475	471	4645	5	19630	1323	21	GM0342	10	Soest	-99999999	981	1	0	4624	19	19	21785	29	1.1	2610	2.3	8	4	2640	96	66	19315	9	3	22080	16	45	26	-8	23280	10	32	45360
270.03764095235533 404.95304390269916	204	17	1	6050	4	1860	3	10	53	-99999999	24	4655	1277	9932	4	151980	3121	397	GM0344	16	Utrecht	-99999999	3025	9	23	9535	12	16	121785	19	0.8	16435	1.9	6	3	13780	74	69	123425	10	1	139300	18	75	38	-1	149100	21	23	288400
344.19531924649647 387.95319495823486	223	13	1	1875	3	425	0	13	29	-99999999	41	810	1323	1981	1	24490	1898	21	GM0345	13	Veenendaal	-99999999	3148	5	17	1960	17	21	25920	25	1.1	3165	2.5	7	12	3055	71	71	24065	6	2	30280	12	25	28	-14	31430	10	30	61710
324.21290449643345 402.4255757184296	281	11	0	535	2	80	0	14	24	-99999999	43	145	140	3672	0	4260	756	26	GM0351	13	Woudenberg	-99999999	313	0	6	3647	25	22	5115	26	1.2	1130	2.6	7	15	545	79	63	4205	4	4	5700	12	110	27	-2	5700	3	32	11400
308.6067436437131 379.3910168253841	264	12	0	920	2	110	1	10	25	-99999999	45	255	217	5030	0	9150	1049	268	GM0352	11	Wijk bij Duurstede	-99999999	491	1	32	4761	18	20	10315	30	1.1	1270	2.5	5	8	1085	60	66	9080	6	3	11580	15	130	27	-1	11790	4	31	23370
262.8646633640731 389.08644433566394	241	11	1	1060	3	185	3	10	27	-99999999	43	450	629	2162	1	13650	1683	45	GM0353	13	IJsselstein	-99999999	1606	4	6	2117	18	22	13325	25	1.0	1295	2.5	6	4	1435	90	68	13430	7	2	16650	13	50	32	2	17340	12	29	33990
297.85353870979327 407.63724405859176	298	12	1	1785	3	615	1	17	41	-99999999	31	655	673	4864	1	27280	1475	15	GM0355	11	Zeist	-99999999	1244	5	29	4850	12	18	32620	27	1.2	3765	2.1	10	4	3360	67	70	25765	10	3	28980	18	20	26	0	31350	11	29	60330
273.00293636593966 389.8475493434703	208	12	1	1995	4	370	4	11	33	-99999999	37	620	1963	2568	1	26870	1754	193	GM0356	10	Nieuwegein	-99999999	2584	2	33	2375	16	17	46630	31	1.7	8140	2.3	6	0	2980	67	67	26075	10	2	30420	17	20	29	-22	30950	12	30	61360
221.1090987803837 446.9651754925953	283	10	0	1010	2	170	1	15	27	-99999999	40	315	607	3224	0	10310	684	1166	GM0358	13	Aalsmeer	-99999999	1216	1	89	2058	17	18	12490	28	1.2	1945	2.4	7	3	1525	8	71	9835	9	4	12470	12	130	28	-2	12550	5	33	25020
221.54740488816407 542.228592017158	184	12	1	3085	5	725	1	13	39	-99999999	33	1075	1298	3122	3	43620	2216	181	GM0361	11	Alkmaar	-99999999	3202	2	41	2941	19	17	38170	27	0.9	5130	2.1	8	0	4420	59	64	42510	10	2	46230	18	15	30	0	47950	12	28	94170
235.94145432078454 454.7491485376978	266	11	1	1810	8	740	3	19	44	-99999999	30	755	783	4405	1	38410	2039	255	GM0362	10	Amstelveen	-99999999	1902	1	54	4150	10	17	32505	27	0.8	2280	2.0	9	1	3930	45	74	36655	18	2	37510	16	90	27	-9	41430	13	26	78940
242.04343341830725 475.5768791711006	204	12	2	14375	10	5585	9	11	56	-99999999	24	10505	1297	21944	5	410310	6049	5315	GM0363	14	Amsterdam	-99999999	4467	9	18	16629	11	16	215615	24	0.5	25635	1.8	8	4	47410	78	74	383080	14	1	365700	15	90	36	0	377180	34	20	742880
292.26607701356215 566.0020539407872	224	11	0	385	2	35	0	13	26	-99999999	40	65	145	4769	0	2650	306	2651	GM0364	10	Andijk	-99999999	311	0	85	2118	38	19	3075	31	1.2	700	2.5	5	4	335	11	51	2570	6	5	3430	12	100	26	-4	3160	2	34	6590
230.77638958669718 520.5030313514659	273	9	0	390	1	55	0	14	26	-99999999	40	55	148	2175	0	2660	395	162	GM0365	8	Graft-De Rijp	-99999999	327	0	17	2013	28	21	2975	30	1.1	475	2.5	8	0	340	83	54	2540	5	5	3330	18	55	26	0	3260	2	34	6590
235.4613149867045 596.4838157495336	207	12	1	780	2	80	0	12	25	-99999999	42	155	82	7881	0	5570	457	414	GM0366	11	Anna Paulowna	-99999999	188	0	86	7468	26	20	6115	28	1.1	1180	2.5	6	3	505	11	60	5610	5	5	7090	14	180	27	-6	6920	3	34	14010
246.43054304096984 521.9243446599613	305	11	0	485	2	45	0	15	27	-99999999	40	85	55	7208	0	3390	498	147	GM0370	10	Beemster	-99999999	120	0	28	7061	25	19	3895	30	1.1	1170	2.5	5	7	425	65	60	3380	6	5	4250	15	200	25	0	4220	2	34	8480
197.22774752056137 463.1521844006873	384	8	1	165	2	70	0	26	30	-99999999	34	30	1382	179	0	2150	680	4	GM0372	6	Bennebroek	-99999999	2946	0	-99999997	175	14	17	2420	30	1.1	130	2.3	13	-99999997	215	-99999997	69	2205	10	4	2420	17	0	20	-99999997	2730	3	36	5160
209.0789303653555 548.4827953912115	352	9	0	1370	2	345	0	21	34	-99999999	33	215	147	11983	0	13720	654	2279	GM0373	7	Bergen (NH.)	-99999999	323	0	25	9705	18	16	14290	32	1.0	1895	2.2	11	0	1750	75	64	13940	9	4	15180	17	125	21	2	16150	2	34	31330
206.1122511826395 503.77649092108607	191	11	0	1355	4	335	1	17	36	-99999999	34	420	823	2038	5	16690	2431	180	GM0375	11	Beverwijk	-99999999	1982	1	79	1858	19	17	15300	26	0.9	2695	2.2	9	4	2220	17	69	16595	10	2	18070	12	25	29	4	18760	10	29	36840
298.4417441489158 451.9573497303413	539	9	0	285	3	65	1	18	29	-99999999	36	55	441	1558	0	3910	826	445	GM0376	6	Blaricum	-99999999	819	0	11	1113	14	17	4900	37	1.3	410	2.3	7	0	630	89	67	3970	12	4	4400	19	20	19	-5	4710	5	34	9110
195.34021164138446 478.98486205616655	626	9	0	460	3	205	0	21	33	-99999999	35	115	226	4329	0	7160	1045	536	GM0377	7	Bloemendaal	-99999999	449	0	18	3793	10	20	8570	32	1.2	480	2.3	12	0	1055	82	72	6905	14	3	8010	18	10	19	-99999997	9010	4	32	17030
284.1234257561248 449.7573231154469	328	9	0	915	3	325	1	20	41	-99999999	32	330	1730	811	1	14420	2204	5	GM0381	11	Bussum	-99999999	3884	2	-99999997	806	14	19	13940	26	1.0	1120	2.1	10	-99999997	2190	-99999997	69	14520	12	2	14720	17	5	26	-99999997	16590	7	27	31310
210.7550076775771 521.986554650996	281	11	0	1525	2	285	0	18	30	-99999999	37	255	292	5992	0	14480	1154	1045	GM0383	7	Castricum	-99999999	705	0	38	4946	23	19	14455	29	1.0	1835	2.4	8	5	1520	57	61	14325	6	3	17090	16	80	24	-9	17780	3	33	34860
256.8231499200831 466.4521900560094	229	13	2	635	8	180	8	14	41	-99999999	34	210	760	1403	2	11260	2101	202	GM0384	9	Diemen	-99999999	1988	2	-99999997	1202	14	17	9130	28	0.8	1220	2.1	7	-99999997	1200	-99999997	71	10130	12	2	11640	15	5	28	-99999997	12250	24	25	23890
265.7807518936579 508.35613025182266	243	11	0	555	2	175	0	12	25	-99999999	45	340	586	2478	0	11060	1435	849	GM0385	12	Edam-Volendam	-99999999	1749	1	10	1629	41	20	9540	28	0.9	2520	2.6	6	0	1695	90	49	11260	4	3	14310	10	20	29	-5	14190	3	29	28490
300.838888043531 561.481942131917	186	12	0	660	3	150	1	14	34	-99999999	35	200	525	11604	2	7830	1292	10364	GM0388	11	Enkhuizen	-99999999	1438	1	55	1240	28	18	6515	28	0.8	1075	2.3	8	10	1005	35	60	7905	6	3	8840	12	20	28	-5	8980	6	31	17830
204.8844188690385 478.6689593365721	220	11	1	4475	4	1365	1	15	45	-99999999	29	1830	1945	3212	4	71750	3160	280	GM0392	12	Haarlem	-99999999	5013	3	41	2932	19	17	57030	26	0.8	7325	2.0	9	5	7560	55	64	67485	10	1	71260	16	20	31	10	75700	13	26	146960
214.90626118639534 483.3325085530246	279	12	0	300	2	30	1	14	27	-99999999	42	40	128	2108	0	2220	553	183	GM0393	7	Haarlemmerliede en Spaarnwoude	-99999999	283	0	9	1925	28	19	2455	31	1.1	535	2.5	6	0	270	91	56	2120	7	4	2690	16	25	24	-4	2760	5	32	5440
210.19986769804282 456.94569273845497	256	11	1	5725	5	790	3	11	27	-99999999	43	1875	513	18528	1	56230	1429	611	GM0394	14	Haarlemmermeer	-99999999	772	2	80	17917	17	21	91895	26	1.6	16025	2.4	6	7	7930	13	72	55345	10	3	68860	11	345	32	-8	69400	11	30	138260
223.89721235658328 566.6856254900435	255	11	0	985	1	100	0	12	27	-99999999	42	170	131	5483	0	6270	344	85	GM0395	11	Harenkarspel	-99999999	295	0	62	5398	35	21	7090	29	1.1	1705	2.5	6	13	780	25	50	6000	5	5	8140	15	215	27	0	7770	2	31	15910
205.34678783977674 510.7718031355941	224	12	0	1370	4	320	1	17	31	-99999999	37	405	565	3173	3	16150	2019	432	GM0396	11	Heemskerk	-99999999	1386	1	85	2741	23	18	15490	27	1.0	1700	2.3	8	3	1195	12	60	15695	9	2	18600	17	95	26	-9	19400	8	32	38010
199.88314462719578 468.9883527437527	375	9	0	615	3	310	1	22	35	-99999999	34	220	1295	964	0	11080	1482	44	GM0397	9	Heemstede	-99999999	2779	0	42	920	11	18	11915	31	1.1	840	2.2	12	0	1420	58	73	11090	12	3	11940	17	10	20	-8	13640	5	31	25580
235.62583238362606 551.6610949275486	198	12	1	2140	4	320	2	10	27	-99999999	42	660	543	3997	2	19880	1500	81	GM0398	13	Heerhugowaard	-99999999	1272	1	61	3915	26	20	21265	26	1.1	2845	2.5	6	7	2105	32	59	19805	8	2	25180	15	150	31	-6	24620	9	32	49800
214.74558868270046 532.7174038832811	297	9	0	770	2	185	0	20	30	-99999999	36	180	504	1899	0	9290	1043	23	GM0399	8	Heiloo	-99999999	1172	0	43	1876	18	19	9450	29	1.0	1025	2.3	9	2	970	55	64	9160	7	3	10820	18	45	23	-6	11160	3	34	21980
222.37745823573314 613.4645704179528	154	12	2	2230	4	590	1	15	36	-99999999	34	590	492	17883	0	26480	1625	13352	GM0400	10	Den Helder	-99999999	1285	0	93	4531	18	17	22295	29	0.8	2540	2.2	10	0	1765	7	61	26580	10	2	28800	21	60	27	-5	29420	8	30	58230
284.54265928152995 438.00362019326894	259	10	1	2570	3	860	1	18	41	-99999999	31	940	876	4624	3	39490	2309	68	GM0402	11	Hilversum	-99999999	1836	3	12	4557	17	17	39925	26	1.0	5275	2.1	10	0	5160	88	64	38430	11	2	40510	20	15	29	6	43160	10	28	83670
269.86099544771656 546.42393398352	194	12	1	2455	4	560	3	12	34	-99999999	38	760	1298	5326	2	29710	1561	3294	GM0405	11	Hoorn	-99999999	3355	2	78	2032	21	19	26385	28	0.9	3610	2.3	8	0	3175	22	62	29525	8	2	33530	16	25	29	-4	34650	12	29	68170
294.4305759766622 455.28276508940365	284	12	0	1360	3	290	1	14	32	-99999999	40	455	1234	2328	2	17620	1812	751	GM0406	11	Huizen	-99999999	2658	3	55	1578	19	18	19475	30	1.1	1935	2.4	7	0	2110	45	66	17650	10	2	20370	15	10	25	-15	21560	8	29	41930
241.03936523294107 572.5905072290738	243	11	0	910	2	70	0	12	24	-99999999	42	145	92	6299	0	4660	248	145	GM0412	12	Niedorp	-99999999	195	0	36	6154	34	21	5645	29	1.2	1635	2.6	6	13	650	51	53	4620	4	5	6080	13	170	27	-1	5900	2	34	11970
247.4290349487158 495.08934061561365	298	11	0	450	2	65	1	16	26	-99999999	41	80	202	2649	0	4260	844	393	GM0415	8	Landsmeer	-99999999	455	0	0	2257	20	18	4555	31	1.1	625	2.4	6	0	590	100	63	4250	8	4	4970	17	35	24	0	5290	4	33	10260
227.25617905717095 555.4522397393639	260	12	0	1330	2	115	0	12	23	-99999999	44	275	471	2699	0	10040	817	293	GM0416	11	Langedijk	-99999999	1078	1	60	2406	29	21	11330	29	1.1	1970	2.6	4	6	1190	33	56	9975	6	4	12940	15	50	27	-6	12990	4	33	25930
292.0795792803936 443.99005714898186	552	8	0	325	3	195	0	27	36	-99999999	31	85	476	1239	0	4840	964	17	GM0417	8	Laren	-99999999	899	0	-99999997	1222	12	16	5815	30	1.2	500	2.2	18	-99999997	990	-99999997	71	4900	13	4	5120	16	5	19	-99999997	5860	4	33	10980
267.4090489484804 561.9217557211449	234	11	0	1395	1	175	0	13	25	-99999999	41	270	152	17900	1	10480	493	10162	GM0420	10	Medemblik	-99999999	343	0	46	7739	32	20	11760	30	1.1	2595	2.5	7	9	1280	44	53	10505	5	5	13440	14	275	27	-3	13130	4	34	26570
270.44559120696476 463.70346281327267	329	9	0	265	2	45	1	16	28	-99999999	39	65	217	3651	0	2780	398	2206	GM0424	10	Muiden	-99999999	461	1	0	1445	14	20	3130	32	1.1	330	2.4	7	0	425	100	65	2740	11	5	3250	20	20	24	-14	3410	5	33	6660
282.2205249743324 456.8665683802585	381	8	0	410	3	190	1	19	32	-99999999	37	210	390	3289	0	7220	1063	1149	GM0425	12	Naarden	-99999999	802	2	10	2139	13	22	8335	28	1.2	725	2.3	11	0	1300	90	73	7395	12	3	8210	13	20	24	11	8960	6	30	17170
240.01621104175433 495.4698137121493	279	10	0	455	2	75	1	15	25	-99999999	43	90	347	1613	1	3750	948	463	GM0431	10	Oostzaan	-99999999	805	0	0	1149	22	20	3985	28	1.1	585	2.4	8	0	420	100	64	3750	6	4	4510	14	25	27	0	4740	4	33	9250
252.23075322785746 561.3466012935176	240	11	0	700	1	80	0	13	25	-99999999	43	115	121	4198	0	4310	453	35	GM0432	10	Opmeer	-99999999	269	0	30	4163	41	21	5025	28	1.2	1060	2.6	7	9	570	61	46	4270	4	5	5630	14	130	27	-1	5580	2	32	11210
245.47620253011874 454.7906177607482	308	10	1	415	4	120	3	16	34	-99999999	38	125	233	2581	0	5600	1252	166	GM0437	10	Ouder-Amstel	-99999999	540	1	2	2415	14	19	5625	30	1.0	945	2.3	9	0	1080	98	72	5630	11	3	6360	14	50	25	-2	6680	8	29	13040
254.63588492578728 507.9438818811963	190	12	1	2720	6	630	5	14	31	-99999999	40	740	1522	2456	1	33390	2105	94	GM0439	9	Purmerend	-99999999	3301	1	-99999997	2362	18	18	35940	27	1.1	5010	2.3	8	-99999997	2965	-99999997	66	32700	9	2	38100	16	10	30	-99999997	39860	14	29	77960
