COMPUTE_CENTROID	WOZ	P_15_24_JR	P_ANT_ARU	MOTOR_2W	P_OVER_NW	STERT_TOT	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_HH_M_K	GEBOO_TOT	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	P_GEBOO	GM_NAAM	POSTCODE	BEV_DICHTH	P_MAROKKO	P_GEWASSEN	OPP_LAND	P_INDUSTRI	P_00_14_JR	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_STERFT	P_COMBI	BEDR_TOT	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	STED	AANT_MAN	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AGRA_MUT	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
443.5561048693916 244.5666059452635	239	11	0	430	1	55	0	15	24	-99999999	40	65	104	4154	0	3570	348	199	GM0885	7	Arcen en Velden	-99999999	222	0	63	3954	24	17	4130	32	1.2	545	2.5	6	8	325	29	59	3580	13	5	4380	17	100	24	-11	4400	1	36	8780
384.9327732305862 114.52554775214165	204	11	0	680	2	115	0	17	28	-99999999	37	105	405	2100	0	7170	784	0	GM0888	6	Beek	-99999999	796	1	51	2100	17	16	8505	31	1.2	935	2.3	7	7	875	42	66	7235	10	4	8180	18	40	25	0	8530	3	35	16720
425.25348630485695 199.5955049445511	197	11	0	490	1	95	0	14	23	-99999999	42	140	213	2921	1	5520	664	97	GM0889	10	Beesel	-99999999	483	3	46	2824	25	18	6025	29	1.1	730	2.5	7	21	475	33	55	5520	11	4	6850	20	70	27	-7	6800	5	35	13650
427.864301370262 280.17178598996645	234	11	0	655	1	115	0	15	24	-99999999	42	125	64	10942	0	5410	303	449	GM0893	9	Bergen (L.)	-99999999	129	0	47	10493	27	18	6670	30	1.2	1145	2.5	9	12	500	40	58	5315	14	5	6770	16	170	26	-5	6790	2	34	13560
411.65812668563797 117.76242549463478	156	11	0	1150	2	325	0	19	34	-99999999	34	240	795	1729	0	13500	1548	13	GM0899	8	Brunssum	-99999999	1724	1	-99999997	1716	19	15	13650	30	1.0	1235	2.2	11	-99999997	915	-99999997	61	13895	21	2	14380	20	5	26	-99999997	15210	4	32	29590
370.9473974811996 77.93395216098824	252	11	0	430	1	85	0	16	22	-99999999	43	80	266	2076	0	4590	542	100	GM0905	7	Eijsden	-99999999	590	0	59	1976	22	18	5250	31	1.1	675	2.5	7	7	465	34	59	4590	11	4	5830	19	55	24	-8	5820	2	35	11650
411.54802359180724 307.140910516412	239	10	0	635	1	150	0	15	27	-99999999	39	170	166	5040	0	6670	555	250	GM0907	10	Gennep	-99999999	352	2	32	4790	25	17	7935	31	1.2	1455	2.4	9	21	680	46	60	6485	11	4	8620	15	115	26	-4	8240	4	34	16860
410.32872214895065 105.47924033437059	136	12	1	2940	3	930	0	18	41	-99999999	30	750	898	4550	1	44290	1630	47	GM0917	8	Heerlen	-99999999	2011	3	45	4502	15	14	40430	29	0.9	4125	2.0	10	23	3580	32	67	45005	20	2	44480	18	20	27	-8	46050	7	29	90540
409.0278322897261 216.29809414977538	243	11	0	820	1	170	0	15	23	-99999999	43	180	128	6922	1	7450	602	14	GM0918	9	Helden	-99999999	283	2	45	6909	22	19	8845	29	1.2	1410	2.6	9	12	785	43	60	7390	5	4	9870	18	275	26	-2	9680	4	34	19550
423.35148491846417 99.99706648492187	144	11	0	1810	2	650	0	19	35	-99999999	32	365	1023	2217	0	22870	1491	24	GM0928	8	Kerkrade	-99999999	2224	1	39	2193	17	13	22435	32	1.0	2215	2.1	13	17	1680	44	64	23285	29	3	24150	20	20	25	-10	24620	4	33	48770
420.91165725160647 206.29359033169652	238	11	0	195	1	20	0	14	22	-99999999	42	45	101	2211	0	1700	275	103	GM0929	10	Kessel	-99999999	202	0	50	2108	27	18	2140	30	1.3	425	2.5	4	29	170	21	56	1700	7	5	2170	17	65	27	-13	2100	1	36	4270
423.66647573267267 220.68805175224867	234	12	0	525	1	80	0	12	21	-99999999	46	150	125	4993	0	4910	509	51	GM0934	12	Maasbree	-99999999	260	0	72	4942	24	19	6175	30	1.3	1055	2.6	6	11	445	17	60	4980	7	4	6540	16	175	27	-6	6310	1	34	12850
