COMPUTE_CENTROID	WOZ	BEDR_KLAS	P_WW_UIT	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_0_14_JR	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	WW_UIT_TOT	P_INDUSTRI	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	AANT_MAN	AUTO_MUT	STED	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
330.86474355708276 384.28371170772226	176	6	20	360	12	0	1	240	1	0	16	27	-999999999	19	39	109	3059	0	2800	566	119	GM0306	-4	77	Amerongen	.	246	2939	3	90	22	3205	27	1.1	455	2.5	9	88	61	2625	7	3590	2	4	17	90	25	3640	3	34	7230
317.82892375576296 425.39976415772645	149	9	25	8070	11	1	3	4230	4	1	12	35	-999999999	21	37	860	6378	4	56990	2156	90	GM0307	-2	91	Amersfoort	.	2113	6288	9	2240	13	54070	22	0.9	6530	2.3	9	82	66	55060	9	64960	2	2	21	100	34	67890	13	28	132850
299.25317906815195 432.9640434519384	190	8	25	1950	10	1	1	790	3	0	17	37	-999999999	17	33	359	3303	2	10680	1382	47	GM0308	-4	120	Baarn	.	753	3256	22	400	16	11685	28	1.0	1505	2.2	7	70	64	10360	9	11750	1	3	19	25	28	12760	6	30	24500
285.429025875777 417.46426903062047	218	9	21	1960	10	0	1	1165	2	1	19	35	-999999999	19	34	287	6710	0	18470	1111	77	GM0310	-2	75	De Bilt	.	636	6633	12	540	14	19050	28	1.0	2170	2.3	8	80	64	18245	9	19940	0	3	21	135	24	22270	5	31	42210
254.8764607878029 423.93070990632054	188	7	21	580	10	0	1	505	2	1	14	30	-999999999	20	39	139	4865	0	5950	650	417	GM0311	-4	61	Breukelen	.	325	4448	5	200	21	6185	26	1.0	985	2.4	4	91	64	5740	8	7120	1	4	15	130	29	7340	4	31	14460
291.8828291351143 392.2208845089712	185	7	20	650	10	0	1	435	2	0	16	26	-999999999	20	39	205	3757	0	5700	564	62	GM0312	-4	72	Bunnik	.	381	3695	24	160	16	7590	28	1.3	1140	2.5	11	66	64	5615	7	6990	1	4	21	115	26	7100	3	35	14090
313.7131426800391 441.6735785437165	167	7	10	960	15	0	0	465	1	0	10	20	-999999999	23	53	246	3488	2	6710	964	438	GM0313	-2	74	Bunschoten	.	638	3050	1	160	21	7500	23	1.1	1420	2.9	4	95	66	6795	3	9780	1	4	13	85	29	9670	4	27	19450
311.2852371254046 391.2987219260164	209	7	20	720	11	0	1	315	3	1	22	38	-999999999	16	31	206	2225	0	4480	537	1	GM0315	-3	112	Doorn	.	461	2224	5	120	11	4575	27	1.0	510	2.2	5	90	64	4240	10	4810	1	4	25	20	25	5450	5	31	10260
302.5778009227326 394.4259823416092	197	7	20	1110	11	0	2	570	2	1	19	34	-999999999	18	35	321	2644	1	7860	1016	10	GM0316	0	96	Driebergen-Rijsenburg	.	705	2634	17	230	12	8445	27	1.0	2085	2.3	0	83	64	7535	9	8900	2	3	23	35	24	9670	7	31	18560
301.68690280563163 444.49778577048556	192	6	26	360	11	0	0	355	2	0	10	25	-999999999	22	47	129	3367	0	3360	774	264	GM0317	-1	61	Eemnes	.	279	3103	9	150	23	4015	27	1.1	705	2.6	4	87	61	3365	9	4300	2	4	16	75	30	4370	3	28	8670
286.456623132191 383.0087240099716	173	8	20	1950	12	1	1	1200	3	2	9	23	-999999999	24	49	292	5898	0	15620	1243	327	GM0321	0	69	Houten	.	760	5571	33	540	16	16290	23	1.0	1850	2.7	7	60	65	15660	7	20880	4	3	19	165	32	21480	6	28	42350
325.27198661581554 387.7196179565602	197	6	20	400	11	0	1	295	4	0	17	30	-999999999	19	36	117	3022	0	3150	604	30	GM0326	-7	81	Leersum	.	251	2992	16	90	17	3490	28	1.1	500	2.4	18	67	64	2925	8	3730	1	4	19	50	26	3780	6	34	7510
322.73088293045515 412.5516397615327	175	8	21	1300	12	0	0	1175	3	1	13	27	-999999999	20	41	221	5894	0	11620	1157	26	GM0327	-1	65	Leusden	.	496	5868	5	410	13	12980	29	1.1	1285	2.5	12	82	68	11320	8	14340	1	3	19	110	27	14770	5	32	29110
261.7831448386297 439.0098647461222	238	6	24	350	9	0	0	290	2	0	15	27	-999999999	20	40	163	2732	1	3410	311	232	GM0329	-7	64	Loenen	.	334	2500	3	130	17	4070	30	1.1	605	2.4	4	93	66	3325	9	4110	0	5	17	70	26	4230	4	33	8340
249.95201176881775 378.4797718050504	173	7	15	620	12	0	1	610	1	0	10	21	-999999999	23	50	76	7892	0	4990	334	314	GM0331	-6	68	Lopik	.	183	7578	11	140	37	5790	24	1.1	1670	2.8	4	86	54	4890	3	7050	1	5	9	275	30	6820	3	29	13870
318.19410658307584 396.77079554583554	218	6	21	250	8	0	0	205	2	1	19	28	-999999999	20	34	116	2534	0	2470	380	18	GM0332	-4	70	Maarn	.	235	2516	4	80	13	2915	28	1.1	340	2.4	11	85	66	2460	7	2910	0	5	21	25	25	2990	3	38	5900
268.4112534448323 419.0932521227572	163	8	25	2330	12	1	2	1145	3	3	11	27	-999999999	19	43	615	3086	1	16160	1444	366	GM0333	-7	84	Maarssen	.	1465	2720	33	700	16	16715	29	1.0	1780	2.4	3	64	69	15370	9	19550	1	3	16	60	29	20290	9	30	39840
249.8101477199506 394.08162795441666	172	7	15	510	12	0	1	405	1	0	9	24	-999999999	22	45	147	3822	0	5050	650	47	GM0335	-5	55	Montfoort	.	354	3775	10	150	24	5565	27	1.1	1120	2.6	4	87	63	5080	5	6680	2	4	13	110	30	6690	3	31	13370
340.8948642749798 399.29751541862055	172	6	15	160	14	-999999999	0	210	1	0	9	22	-999999999	24	48	103	1852	-999999999	1520	336	9	GM0339	-5	55	Renswoude	.	231	1843	8	50	30	1890	24	1.2	510	2.8	19	73	57	1485	3	2130	0	5	13	100	29	2140	1	30	4270
345.17682990809396 377.1126241708613	165	7	20	980	11	0	2	630	1	0	15	26	-999999999	20	39	191	4300	0	7070	839	160	GM0340	-3	84	Rhenen	.	432	4139	11	210	24	7915	27	1.1	1195	2.5	11	79	59	7000	5	8850	1	4	17	110	27	9030	4	35	17880
304.2067378209992 421.0532683780484	184	9	27	2530	10	1	1	1535	3	1	16	32	-999999999	19	36	448	4645	5	19180	1277	19	GM0342	-1	87	Soest	.	971	4626	2	790	19	20735	28	1.0	2740	2.3	5	93	65	18835	9	21910	1	3	16	55	27	23000	10	31	44910
270.02047004648824 404.86811283035536	133	9	26	16350	16	1	9	5575	4	3	11	52	-999999999	16	24	1155	9932	4	141100	3151	364	GM0344	-4	83	Utrecht	.	2825	9567	28	5090	13	110465	19	0.7	16890	1.9	2	70	68	117020	10	130300	2	1	20	95	38	139940	20	24	270240
344.1948546897485 387.86623377229995	142	9	21	3150	13	1	4	1750	3	0	12	27	-999999999	22	43	1236	1981	1	23620	1847	20	GM0345	-3	77	Veenendaal	.	3116	1961	13	880	17	24245	24	1.0	3015	2.6	10	77	69	23160	6	30030	3	2	14	30	30	31080	9	30	61110
324.2604088583687 402.2601551555469	175	6	15	580	11	0	0	470	2	0	13	25	-999999999	22	44	135	3672	0	4180	761	26	GM0351	-5	81	Woudenberg	.	308	3647	7	100	25	4910	25	1.1	1175	2.6	15	78	59	4145	4	5620	2	4	16	110	28	5600	3	32	11230
308.6051759464627 379.27313231951575	170	7	15	1240	12	0	1	830	2	1	9	24	-999999999	21	46	207	5030	0	9010	1045	268	GM0352	-2	76	Wijk bij Duurstede	.	494	4762	28	280	20	9870	28	1.0	1225	2.6	14	58	62	8990	7	11650	2	3	18	135	30	11860	4	30	23510
262.872167464424 388.99157530429176	149	8	22	1750	10	1	4	1035	3	3	9	26	-999999999	23	43	603	2162	1	13390	1641	45	GM0353	-1	78	IJsselstein	.	1586	2117	9	500	18	12760	22	0.9	1300	2.5	2	89	67	13090	7	16470	1	2	15	50	35	17110	12	30	33580
297.85598281570014 407.46677050785445	194	9	22	4250	12	1	5	1585	3	1	17	40	-999999999	17	30	666	4864	1	27220	1458	12	GM0355	-2	108	Zeist	.	1244	4853	32	870	12	32295	26	1.1	3605	2.1	0	68	67	25505	10	28900	0	3	21	15	27	31470	10	29	60370
273.0400118626763 389.76035970365126	139	9	24	4120	13	1	2	1840	4	4	10	32	-999999999	17	39	1694	2568	1	26490	1790	196	GM0356	-2	91	Nieuwegein	.	2605	2372	30	1090	15	40185	30	1.5	4170	2.3	4	65	68	25595	10	30640	0	2	17	20	30	31160	11	30	61800
221.0944732745175 446.8779815949244	189	8	15	1210	10	0	1	805	2	1	15	28	-999999999	18	39	561	3224	0	9450	631	1158	GM0358	0	79	Aalsmeer	.	1109	2066	93	230	16	11595	28	1.2	2075	2.4	1	6	71	9035	8	11400	3	4	13	165	29	11520	4	34	22920
221.52292597829393 542.1021218175598	117	9	23	7080	13	1	2	2850	4	1	13	38	-999999999	18	34	1222	3122	3	42680	2159	171	GM0361	-1	107	Alkmaar	.	3190	2951	47	1540	18	36055	26	0.8	5200	2.2	0	53	62	41825	10	46180	2	2	20	15	31	47950	12	28	94120
235.96064309431586 454.6521899158896	176	9	23	3990	11	1	1	1725	7	2	18	44	-999999999	17	30	785	4405	1	38210	2036	249	GM0362	-1	78	Amstelveen	.	1898	4156	59	1180	9	32640	25	0.8	2255	2.0	0	41	73	36415	17	37460	0	2	17	100	29	41410	11	26	78870
241.92177595059286 475.5345227089488	134	9	34	48200	12	2	8	13355	9	10	11	55	-999999999	16	24	1283	21907	5	406270	6024	5409	GM0363	-5	89	Amsterdam	.	4480	16498	20	18290	11	211625	23	0.5	28150	1.8	2	78	71	378575	14	364420	1	1	18	90	38	374680	34	20	739100
292.2794782539062 565.8499387118252	127	6	21	450	12	0	0	335	2	0	11	24	-999999999	20	42	130	4769	0	2500	293	2649	GM0364	1	101	Andijk	.	303	2121	86	90	36	2765	30	1.1	730	2.6	4	10	49	2435	6	3280	4	5	14	120	27	3150	3	34	6420
230.8059391554866 520.3672496361105	175	6	20	350	9	0	0	335	1	0	12	24	-999999999	21	42	141	2175	0	2540	381	165	GM0365	2	80	Graft-De Rijp	.	323	2010	19	80	27	2830	29	1.0	510	2.5	0	81	53	2435	5	3270	1	5	20	55	29	3220	2	34	6490
235.4852443020857 596.3204315360656	131	6	15	770	12	1	0	705	2	0	11	24	-999999999	21	43	76	7881	0	5420	433	438	GM0366	-1	81	Anna Paulowna	.	187	7443	86	160	25	5675	27	1.0	1235	2.6	4	10	56	5390	5	7050	2	5	19	200	29	6910	3	33	13950
246.46084054929693 521.7730569476153	186	6	15	540	11	0	0	455	1	0	14	25	-999999999	19	42	53	7208	0	3360	546	155	GM0370	-2	96	Beemster	.	121	7054	28	70	26	3765	29	1.1	1090	2.5	7	65	59	3310	6	4280	1	4	15	210	26	4260	2	34	8540
197.26583486911986 463.0341921954373	234	5	15	350	8	1	0	160	2	0	25	29	-999999999	17	34	1366	179	0	2140	674	4	GM0372	-2	114	Bennebroek	.	2986	175	-999999998	40	10	2390	29	1.1	165	2.3	-999999998	-999999998	65	2190	10	2480	0	4	25	0	22	2750	3	37	5220
209.12025022181604 548.412495678061	226	8	15	2040	10	0	0	1245	2	0	19	32	-999999999	17	35	141	11983	0	13570	651	2266	GM0373	-2	99	Bergen (NH.)	.	327	9717	27	350	18	13725	32	1.0	2060	2.3	0	73	62	13635	9	15540	1	4	20	140	23	16200	3	33	31740
206.15558609226176 503.65665709297406	114	9	21	2630	10	0	1	1265	3	1	16	35	-999999999	18	35	810	2035	4	16590	2388	182	GM0375	-3	108	Beverwijk	.	1996	1854	89	510	17	15015	25	0.9	2640	2.2	0	11	70	16790	10	18080	1	2	13	25	31	18910	9	31	37000
298.3552828819745 451.79960921757083	360	7	30	490	10	0	0	270	3	1	16	27	-999999999	17	38	439	1558	0	3880	807	445	GM0376	-2	77	Blaricum	.	832	1113	11	190	16	4890	37	1.2	440	2.4	5	84	67	3950	12	4460	0	4	17	15	21	4790	4	34	9260
195.36329186426332 478.8670111295534	363	7	20	670	9	0	0	425	2	0	21	33	-999999999	19	36	223	4329	0	7110	1058	536	GM0377	-1	66	Bloemendaal	.	446	3793	45	190	10	8455	31	1.1	555	2.3	0	55	66	6855	14	7970	0	3	25	10	20	8950	3	31	16920
284.08476526179044 449.6383680493157	208	8	27	1430	9	0	2	845	3	0	20	41	-999999999	18	31	1720	811	1	14370	2171	5	GM0381	-4	75	Bussum	.	3883	806	-999999998	530	14	13865	25	0.9	1285	2.1	-999999998	-999999998	69	14290	12	14630	0	2	17	0	27	16670	7	28	31300
210.744095688895 521.8892306914818	174	8	15	1930	10	0	0	1385	2	0	16	28	-999999999	20	39	285	5992	0	14320	1148	1042	GM0383	-4	85	Castricum	.	713	4950	43	350	23	14110	28	0.9	1925	2.4	3	54	59	14220	6	17360	0	3	18	95	26	17930	3	33	35290
256.81769581137513 466.34414402652845	151	8	25	1360	13	2	2	575	8	8	13	41	-999999999	18	34	764	1403	2	11290	2098	205	GM0384	-2	82	Diemen	.	2006	1199	-999999998	420	14	9160	26	0.8	1345	2.1	-999999998	-999999998	68	10040	11	11740	0	2	17	0	30	12310	22	26	24050
265.78019218317263 508.2231899122711	150	8	15	1850	12	0	1	555	1	0	10	25	-999999999	20	47	560	2478	0	10830	1413	847	GM0385	-2	94	Edam-Volendam	.	1729	1631	17	250	38	9130	27	0.8	2225	2.6	4	79	51	11195	4	14190	2	3	10	20	31	14000	3	28	28190
300.8531795672556 561.3553783747517	110	7	29	1380	12	0	1	585	3	1	13	33	-999999999	19	36	488	11604	2	7470	1241	10362	GM0388	2	116	Enkhuizen	.	1388	1242	64	350	29	6065	27	0.8	1105	2.3	11	25	57	7635	6	8580	2	3	14	25	30	8670	6	32	17240
204.89261467242218 478.5363223687545	128	9	26	10910	11	1	3	4285	4	1	15	44	-999999999	17	29	1889	3212	4	71100	3116	280	GM0392	-4	109	Haarlem	.	5026	2932	41	2580	19	55370	25	0.7	8270	2.0	9	50	61	67040	10	71630	0	1	20	20	32	75720	12	27	147340
214.91407864901785 483.23395793208925	181	6	15	290	11	0	0	270	2	1	13	27	-999999999	21	43	127	2108	0	2240	578	184	GM0393	-1	79	Haarlemmerliede c.a.	.	289	1925	9	50	30	2435	29	1.0	530	2.5	0	91	54	2110	6	2750	0	4	16	20	27	2810	4	30	5560
210.2139305399476 456.8681895119514	165	9	20	7200	11	1	1	4865	4	3	10	27	-999999999	21	43	508	18528	1	51570	1384	552	GM0394	-1	82	Haarlemmermeer	.	711	17976	82	1780	17	91250	25	1.7	15335	2.5	7	11	72	51025	10	63760	3	3	12	400	33	63990	10	30	127750
223.91618481250603 566.5665501507956	159	7	15	1050	12	0	0	865	1	0	10	26	-999999999	21	43	126	5483	0	6120	334	80	GM0395	-3	96	Harenkarspel	.	294	5403	65	160	33	6810	28	1.1	1655	2.6	10	26	49	5850	5	8110	0	5	18	230	29	7760	2	31	15870
205.31249160964077 510.67813928038845	134	7	15	2310	12	0	1	1145	4	1	16	30	-999999999	19	38	509	3176	3	15050	1973	425	GM0396	-1	98	Heemskerk	.	1319	2751	88	400	22	14000	26	0.9	1710	2.4	2	10	59	14975	10	17770	2	2	19	105	27	18530	8	32	36290
199.889784000986 468.89981591571654	233	8	22	1680	9	0	0	570	2	1	21	35	-999999999	18	34	1279	964	0	11070	1467	44	GM0397	-6	109	Heemstede	.	2790	920	42	340	11	11765	29	1.0	935	2.2	8	50	70	10950	12	11980	1	3	18	10	22	13680	4	31	25660
235.6262154099761 551.5213848192809	126	8	22	3350	12	1	1	1780	3	1	9	25	-999999999	21	43	493	3997	2	18530	1465	71	GM0398	0	101	Heerhugowaard	.	1203	3925	63	720	26	19365	26	1.0	2895	2.5	7	29	57	18460	8	23880	4	3	17	170	32	23360	8	32	47240
214.76535337788852 532.5820338455267	187	7	20	1270	9	0	0	720	2	0	19	29	-999999999	19	36	493	1899	0	9150	1028	21	GM0399	-2	92	Heiloo	.	1174	1879	45	260	19	9265	28	1.0	1065	2.4	2	53	62	9110	7	10820	1	3	18	45	25	11240	3	35	22060
222.385304744099 613.3272732592998	84	8	20	4260	12	2	0	2060	4	1	14	35	-999999999	18	34	481	17883	0	26610	1608	13340	GM0400	0	105	Den Helder	.	1316	4543	88	830	17	21865	27	0.8	2850	2.2	0	12	60	26435	10	29690	0	2	23	65	29	30110	8	31	59800
284.51635182298327 437.88483179120135	165	9	30	5050	10	1	2	2365	3	1	18	40	-999999999	17	31	816	4624	3	39190	2286	66	GM0402	-3	93	Hilversum	.	1831	4559	11	1640	17	37205	25	0.9	3960	2.1	6	83	63	37930	11	40350	1	2	20	15	30	43100	9	29	83450
269.82145062703876 545.9671560847305	120	9	27	5140	12	1	2	2180	4	3	11	32	-999999999	19	39	1318	5224	2	29070	1557	3293	GM0405	0	110	Hoorn	.	3520	1931	85	1280	21	25455	26	0.8	3695	2.3	0	15	61	28905	8	33530	1	2	18	30	31	34420	11	29	67950
294.3818115305575 455.18098926327	191	8	25	2400	12	0	3	1110	3	1	12	29	-999999999	19	42	1194	2328	1	17060	1770	751	GM0406	-2	83	Huizen	.	2661	1577	50	720	20	18825	29	1.0	1945	2.4	0	50	64	17255	10	20400	1	2	16	10	28	21570	8	29	41970
241.0710142474042 572.4374195345966	142	7	15	690	11	0	0	805	1	0	11	21	-999999999	21	43	84	6299	0	4440	226	141	GM0412	-1	88	Niedorp	.	189	6158	38	140	35	5170	28	1.1	1590	2.6	9	53	49	4350	4	5880	3	5	16	185	29	5740	2	36	11620
247.44271704354568 494.9668822063118	179	6	20	610	10	0	0	465	2	1	15	25	-999999999	19	42	196	2649	0	4220	831	395	GM0415	-5	90	Landsmeer	.	458	2254	0	140	21	4425	30	1.0	600	2.4	0	100	60	4225	7	5000	1	4	18	40	26	5320	4	32	10320
227.24905556427956 555.328707717086	166	8	15	1390	12	0	1	1160	2	0	11	23	-999999999	21	46	437	2699	0	9600	771	285	GM0416	1	81	Langedijk	.	1047	2415	62	290	27	10555	28	1.0	1985	2.6	8	30	54	9505	5	12640	4	4	18	60	28	12640	3	32	25280
292.0624616205989 443.85386072884097	361	7	21	510	8	0	0	295	6	0	25	38	-999999999	17	31	475	1239	0	5150	954	17	GM0417	2	75	Laren	.	949	1222	-999999998	140	13	5805	28	1.1	540	2.1	-999999998	-999999998	71	4900	14	5470	0	4	16	5	22	6120	7	32	11590
274.6689013780804 571.3156881713383	120	6	28	690	11	1	0	265	4	0	12	32	-999999999	20	37	426	10796	5	3460	897	10065	GM0420	-5	126	Medemblik	.	1100	731	50	150	33	3115	27	0.9	675	2.3	5	45	54	3260	6	4030	1	4	14	20	30	4010	10	31	8040
270.3768839302363 463.6029765765354	219	6	29	350	9	0	1	230	2	1	15	28	-999999999	20	40	211	3651	0	2790	407	2206	GM0424	-4	79	Muiden	.	461	1445	0	130	14	3050	30	1.0	335	2.4	0	100	64	2740	10	3270	1	5	22	20	27	3390	5	32	6660
282.19727692424283 456.7519930351189	245	8	27	720	8	0	2	390	3	1	18	32	-999999999	21	37	376	3289	0	7180	1041	1151	GM0425	-4	69	Naarden	.	797	2138	11	280	14	8050	27	1.1	800	2.3	0	89	71	7280	12	8150	1	3	14	15	26	8880	6	31	17030
243.98852374854087 549.0538461517039	142	6	15	350	13	0	0	365	2	0	10	23	-999999999	21	46	135	2099	-999999999	2520	399	40	GM0429	0	75	Obdam	.	329	2059	59	70	40	2770	28	1.1	780	2.7	6	36	44	2440	3	3400	2	5	16	90	28	3370	2	32	6770
240.03229643178162 495.3673149755606	163	6	20	530	9	0	0	405	2	1	14	24	-999999999	20	43	337	1613	1	3690	938	464	GM0431	-3	88	Oostzaan	.	799	1149	0	110	23	3875	27	1.0	605	2.5	0	100	62	3695	6	4470	2	4	15	20	30	4710	4	33	9180
252.25032346573244 561.2209900981644	139	6	15	640	11	0	0	660	1	0	12	23	-999999999	22	45	115	4198	0	4220	443	32	GM0432	-1	87	Opmeer	.	269	4166	29	110	38	4795	26	1.1	1070	2.7	9	62	48	4180	4	5650	2	5	15	145	29	5560	2	32	11200
245.497726206901 454.838266083002	191	7	25	590	9	1	0	405	3	3	15	33	-999999999	19	37	231	2618	0	5620	1184	169	GM0437	-4	69	Ouder-Amstel	.	533	2449	2	220	17	5655	29	1.0	1025	2.3	2	96	66	5645	11	6320	2	3	17	55	28	6740	8	30	13060
254.63820992877646 507.81933693166485	118	9	24	5750	11	1	1	2520	5	4	13	30	-999999999	19	41	1285	2456	1	32090	2116	82	GM0439	-1	112	Purmerend	.	3194	2374	-999999998	1250	17	30495	25	0.9	4160	2.3	-999999998	-999999998	65	31450	9	37050	5	2	18	5	32	38780	13	29	75830
228.39868940381578 579.3115904986932	137	7	20	1220	11	0	0	615	4	1	15	31	-999999999	17	35	397	1935	0	7820	1064	50	GM0441	1	98	Schagen	.	965	1885	11	230	19	7490	29	0.9	1250	2.3	6	83	60	7650	8	9050	3	3	21	35	28	9150	6	33	18200
230.40418760239857 652.1618696051238	139	7	26	1010	10	0	0	635	2	0	15	32	-999999999	19	36	35	46328	0	5850	379	30132	GM0448	-1	111	Texel	.	85	16196	37	240	19	5625	30	0.9	1635	2.3	19	44	67	5760	6	6800	1	5	14	235	26	6940	2	33	13740
217.638597859452 513.418103943822	153	6	15	590	11	0	0	505	2	0	12	24	-999999999	22	44	248	2231	0	4560	929	313	GM0450	0	76	Uitgeest	.	614	1918	17	120	32	4750	25	1.0	770	2.6	2	81	51	4590	6	5910	1	4	17	45	30	5870	3	32	11780
226.57800798414303 441.62463194816576	165	8	21	1440	9	0	2	1040	4	1	15	29	-999999999	20	38	679	1949	0	11300	1343	120	GM0451	-4	83	Uithoorn	.	1463	1830	90	370	16	12420	25	1.0	1810	2.4	2	8	71	11205	10	13200	1	3	13	140	31	13560	7	32	26760
202.53414547070994 494.96621501789656	134	9	20	4350	10	0	1	2595	3	0	16	32	-999999999	20	38	619	6303	2	28830	1652	1861	GM0453	-3	101	Velsen	.	1523	4442	28	890	23	27495	25	0.9	3730	2.3	0	72	61	28535	8	33340	1	2	16	15	29	34300	6	30	67640
286.08497168518994 545.4899634562978	162	6	22	520	11	0	0	330	1	0	12	27	-999999999	20	40	97	5665	0	3120	222	2140	GM0454	-3	98	Venhuizen	.	222	3525	64	120	30	3430	30	1.1	1000	2.5	2	35	54	2960	7	4020	1	5	16	170	27	3800	2	33	7810
268.02134995121116 457.3746976543823	132	8	28	1100	11	1	5	485	3	2	15	39	-999999999	16	31	366	2188	2	8290	1582	130	GM0457	-2	89	Weesp	.	867	2058	4	340	20	7535	27	0.9	1105	2.1	0	96	69	8110	10	8720	0	2	11	50	31	9120	12	30	17840
232.38730929573296 532.7657038808276	166	6	15	290	11	0	-999999999	245	1	0	12	23	-999999999	21	44	36	6444	0	1880	111	289	GM0458	3	87	Schermer	.	80	6155	28	50	30	2205	29	1.1	640	2.6	6	66	53	1860	4	2510	2	5	18	160	27	2390	1	33	4900
280.348335494391 561.7648562712939	135	6	15	500	12	0	0	355	1	0	12	25	-999999999	21	45	143	3108	0	3200	443	762	GM0459	-4	89	Wervershoof	.	362	2346	79	90	34	3350	26	1.0	1125	2.6	4	17	54	3035	3	4340	3	5	13	110	28	4140	2	30	8480
257.20435177624915 610.844681628728	118	6	15	610	11	0	0	365	1	0	16	29	-999999999	18	37	126	21250	0	3560	390	18573	GM0462	0	109	Wieringen	.	316	2677	20	100	30	3360	28	0.9	830	2.3	4	76	50	3585	5	4230	4	5	20	50	27	4220	2	35	8450
260.4850678285733 589.942341951129	112	7	20	830	11	0	0	620	2	0	13	24	-999999999	20	41	28	30776	0	5020	419	11294	GM0463	-2	100	Wieringermeer	.	65	19482	76	170	26	5535	27	1.1	1415	2.5	14	10	56	4995	5	6380	-1	5	18	370	28	6210	2	35	12580
264.1746823364897 553.5861808333658	155	6	15	640	12	0	0	355	1	0	11	21	-999999999	21	47	151	2148	0	2870	386	10	GM0466	1	117	Wognum	.	378	2138	67	80	28	3230	29	1.1	830	2.7	7	26	55	2865	4	4180	0	5	17	105	27	3900	2	31	8080
188.88181941360372 472.29634240410655	179	7	23	1280	9	0	1	570	3	1	18	42	-999999999	14	29	224	4434	1	8240	1394	1230	GM0473	-4	113	Zandvoort	.	526	3204	-999999998	260	14	7180	30	0.8	755	2.0	-999999998	-999999998	70	8135	13	8080	1	3	17	0	28	8790	6	29	16870
218.31543999575322 585.4300283181553	142	7	20	730	11	0	0	690	1	0	13	25	-999999999	19	40	52	11335	0	4570	184	1818	GM0476	-1	95	Zijpe	.	120	9517	55	150	22	4975	31	1.0	1455	2.5	3	43	59	4460	6	5790	3	5	19	220	26	5590	1	35	11380
