COMPUTE_CENTROID	WOZ	BEDR_KLAS	P_WW_UIT	AO_UIT_TOT	P_15_24_JR	P_ANT_ARU	P_MARROK	MOTOR_2W	P_OVER_NW	P_SURINAM	P_65_EO_JR	P_EENP_HH	DEK_PERC	P_0_14_JR	P_HH_M_K	AUTO_LAND	OPP_TOT	P_TURKIJE	AANTAL_HH	OAD	OPP_WATER	GM_CODE	AO_UIT_MUT	P_AO_UIT	GM_NAAM	POSTCODE	BEV_DICHTH	OPP_LAND	P_GEWASSEN	WW_UIT_TOT	P_INDUSTRI	AUTO_TOT	P_45_64_JR	AUTO_HH	BEDR_AUTO	GEM_HH_GR	P_COMBI	P_VEETEELT	P_COM_DV	WONINGEN	P_WEST_AL	AANT_MAN	AUTO_MUT	STED	P_N_COM_DV	AGRA_BEDR	P_25_44_JR	AANT_VROUW	P_N_W_AL	P_HH_Z_K	AANT_INW
186.52467232713147 388.3191326702462	167	7	15	320	11	0	2	410	2	1	10	19	-999999999	23	48	233	2196	0	3840	630	84	GM0495	-3	45	Bleiswijk	.	495	2113	92	110	14	4920	28	1.2	1065	2.7	5	4	72	3745	6	5360	2	4	14	150	29	5090	6	33	10450
223.69607285838708 404.48923588778734	159	7	15	820	12	0	3	645	2	0	11	25	-999999999	22	44	206	3850	0	7360	1209	102	GM0497	-3	63	Bodegraven	.	520	3748	2	190	22	7720	26	1.0	1855	2.6	1	97	65	7130	5	9730	0	3	12	105	29	9750	6	31	19480
281.7573350052996 552.1823511080688	140	6	20	620	12	0	0	430	1	0	11	22	-999999999	21	45	168	2408	0	3870	506	15	GM0498	0	88	Drechterland	.	434	2392	62	140	33	4015	28	1.0	855	2.7	3	35	51	3925	4	5240	3	4	16	95	28	5140	2	33	10380
207.70993978573432 402.87705828916	156	7	15	520	11	0	4	590	2	0	12	27	-999999999	21	40	425	1696	0	6050	778	217	GM0499	-5	51	Boskoop	.	1029	1479	94	150	16	6290	26	1.0	1965	2.5	2	3	65	6055	5	7670	1	4	19	410	30	7560	7	33	15220
131.91434015663046 355.6174701936228	142	7	24	640	10	0	0	675	2	0	14	27	-999999999	18	39	271	3112	0	6700	790	363	GM0501	-6	59	Brielle	.	580	2749	79	260	15	7450	29	1.1	1070	2.4	8	13	68	6715	8	7880	2	4	17	100	29	8060	3	34	15950
193.2928259196492 366.3532870995756	119	9	28	3000	12	3	1	1390	5	5	14	34	-999999999	18	37	1866	1542	1	28690	2195	113	GM0502	-5	67	Capelle aan den IJssel	.	4571	1430	-999999998	1280	15	26680	27	0.9	2615	2.3	-999999998	-999999998	70	28870	11	31610	1	2	15	0	30	33740	15	30	65350
159.95496172153875 382.65607359726306	115	9	20	4530	16	1	1	2115	8	2	13	51	-999999999	15	25	1327	2408	2	50110	3270	87	GM0503	-2	66	Delft	.	4129	2321	25	1400	14	30805	23	0.6	3600	1.9	0	75	67	42865	11	50100	0	1	19	20	33	45720	15	24	95820
115.06597176684114 321.38335988410324	120	6	15	340	12	0	0	360	1	0	14	25	-999999999	21	42	63	7415	0	3170	439	1858	GM0504	-7	63	Dirksland	.	149	5556	63	90	26	3500	25	1.1	860	2.6	20	18	59	3190	3	4120	1	5	15	95	28	4150	1	33	8270
212.97787776162792 327.86826896223187	102	9	30	6120	12	3	2	2830	4	2	14	36	-999999999	19	35	588	9945	5	53120	2393	1992	GM0505	-2	76	Dordrecht	.	1504	7953	56	2370	17	46770	25	0.8	7625	2.2	12	32	66	52230	10	58740	1	2	17	70	30	60910	16	29	119650
97.9530540901496 335.8907131489316	160	7	15	430	12	0	0	340	1	0	15	22	-999999999	19	44	72	15385	0	4390	333	8253	GM0511	1	55	Goedereede	.	162	7132	66	110	19	5110	27	1.1	930	2.6	15	19	67	4480	3	5710	2	5	14	85	28	5840	1	34	11540
