COMPUTE_CENTROID	GM_CODE	GM_NAAM
339.1925835530796 634.9665915977617	GM1900	SÃ»dwest FryslÃ¢n
222.3857633806272 398.7591636720038	GM1901	Bodegraven-Reeuwijk
379.56595766415853 82.04552426372284	GM1903	Eijsden-Margraten
260.5577102218301 426.41720155219764	GM1904	Stichtse Vecht
361.3267365687751 684.8317745335199	GM1908	Menameradiel
251.79418271228528 589.872794739723	GM1911	Hollands Kroon
122.0335880153816 320.4009614750947	GM1924	Goeree-Overflakkee
227.49677680353935 355.01090251122304	GM1927	Molenwaard
369.08612061738 611.5150868297011	GM1921	De Friese Meren
145.7160637415314 341.26379113113876	GM1930	Nissewaard
217.6727408680534 370.49426519967534	GM1931	Krimpenerwaard
369.0861205993571 611.5150866422712	GM1940	De Fryske Marren
279.4429058308465 457.4789688493079	GM1942	Gooise Meren
405.478451148114 337.23438376267	GM1945	Berg en Dal
336.7915716958011 279.9111931722129	GM1948	Meierijstad
