Country Code	Country Name	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TGO	Togo	3756678	3831369	3907380	3984526	4062199	4139017	4215426	4291902	4367783	4442664	4516056
THA	Thailand	40367985	39750467	39100958	38428314	37733713	37345512	37012283	36665739	36299887	35912044	35500519
TJK	Tajikistan	5144569	5256002	5371481	5491177	5615070	5743081	5872773	6003411	6133655	6262571	6389529
TKM	Turkmenistan	2534541	2552877	2573111	2595520	2620371	2647826	2677379	2707770	2737439	2765000	2790049
TLS	Timor-Leste	772058	780529	786503	792927	801879	813803	827916	843517	859485	875013	889973
TUN	Tunisia	3515220	3521019	3528815	3537861	3547672	3557956	3568868	3580282	3591459	3601258	3609584
TUR	Turkey	21694854	21538271	21377845	21229828	21101377	20993636	20898951	20818023	20738956	20655059	20566684
TZA	Tanzania	30281976	30972821	31684130	32408813	33138433	33871434	34606949	35346369	36092205	36844731	37604041
UGA	Uganda	24401459	25115096	25842805	26585217	27341363	28110714	28891496	29683216	30482617	31288912	32101728
UKR	Ukraine	14986584	14814623	14652285	14505868	14405235	14311037	14233316	14158638	14048791	13970205	13882133
URY	Uruguay	214752	207765	201116	194737	188495	182417	178704	175751	172858	170033	167241
USA	United States	59380586	59435929	59486862	59495270	59479592	59386934	59285070	59139015	58999333	58843392	58659368
UZB	Uzbekistan	13503445	13566997	13654403	13752638	14008143	14332297	14574618	14834290	15117410	15414708	15716939
VEN	Venezuela, RB	3274148	3321374	3368280	3414184	3459271	3503775	3550401	3597819	3644342	3690637	3736094
VNM	Vietnam	61363430	61407621	61451553	61504191	61561828	61639735	61731600	61825928	61898666	61935956	61933285
XKX	Kosovo	450000	450000	450000	450000	450000	450000	450000	450000	450000	450000	450000
YEM	Yemen, Rep.	14920293	15215030	15511088	15808130	16105489	16403222	16700141	16993164	17279269	17555558	17821057
ZAF	South Africa	19707822	19647567	19583096	19528450	19489717	19470250	19465184	19467561	19464082	19447030	19414403
ZMB	Zambia	7752656	7905248	8062624	8227119	8399353	8580108	8767924	8960851	9156703	9353314	9550336
ZWE	Zimbabwe	8671728	8831998	9008247	9200897	9410223	9636897	9880673	10138608	10402264	10667923	10934441
